Comparator,Function,U,PValue,SCHO_Mean,Comparator_Mean,SCHO_Median,Comparator_Median,MeanRankDelta_SCHO_minus_Comparator,Symbol
AOA,F18,55.0,5.4617466566169245e-09,7.581967229943165,70.75618145236271,3.000002359612611,35.245037204125836,-26.333333333333332,+
AOA,F19,10.0,8.152744512218774e-11,-3.8618902001976454,-3.8519394316075592,-3.8627731630460733,-3.852946006642873,-29.33333333333333,+
AOA,F20,31.0,6.121039395876218e-10,-3.268115527450003,-3.04675373081566,-3.321617941744566,-3.0792873898601254,-27.933333333333334,+
AOA,F21,8.0,6.69551896550012e-11,-8.796057576788062,-3.5046383472674516,-10.146243784186378,-3.4109364050057716,-29.46666666666667,+
AOA,F22,42.0,1.6947244610469583e-09,-9.33642620256563,-3.9355582379498726,-10.395847233756049,-3.754635447889524,-27.200000000000003,+
AOA,F23,75.0,3.081054351802121e-08,-9.125356316648064,-3.9865786365066973,-10.531793950747328,-3.8647745245427148,-25.0,+
RSA,F1,450.0,1.0,0.0,0.0,0.0,0.0,0.0,~
RSA,F2,450.0,1.0,0.0,0.0,0.0,0.0,0.0,~
RSA,F3,450.0,1.0,0.0,0.0,0.0,0.0,0.0,~
RSA,F4,450.0,1.0,0.0,0.0,0.0,0.0,0.0,~
RSA,F5,370.0,0.236863560190557,28.28397508632145,17.46618393606682,28.64996281544036,28.990156198501467,-5.333333333333332,~
RSA,F6,0.0,1.2709849497708895e-11,0.30580962071749707,7.320259413335436,0.03765921359450068,7.5,-30.0,+
RSA,F7,361.0,0.19063172615597856,0.00011104732198866423,0.00015089393084100514,9.083376248303354e-05,0.00012992966008495976,-5.933333333333334,~
RSA,F8,283.0,0.013785500137431394,-7330.6879735550465,-5367.888710059571,-5971.476683462198,-5447.440336597332,-11.133333333333336,+
RSA,F9,450.0,1.0,0.0,0.0,0.0,0.0,0.0,~
RSA,F10,450.0,1.0,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,0.0,~
RSA,F11,450.0,1.0,0.0,0.0,0.0,0.0,0.0,~
RSA,F12,54.0,3.786286295477811e-09,0.27797407424104503,1.3154908932821952,1.3293752101512104e-06,1.6329736841686548,-26.400000000000002,+
RSA,F13,780.0,1.103930437740695e-06,1.349836846029414,0.4,1.7544567025241515,4.824289279699334e-28,22.0,-
RSA,F14,207.0,0.00033653304326096726,3.5386512291585395,5.093949577791363,0.9980038385337332,2.982209895154927,-16.200000000000003,+
RSA,F15,0.0,3.019859359162157e-11,0.000327086928171355,0.0026343053489724633,0.0003211329667508688,0.0016617231809562048,-30.0,+
RSA,F16,0.0,3.019859359162157e-11,-1.0316284300630985,-1.0305462336719884,-1.0316284384435512,-1.0310395990370171,-30.0,+
RSA,F17,0.0,3.019859359162157e-11,0.3978903317325324,0.43369120058053234,0.39788944539483406,0.4071031316608673,-30.0,+
RSA,F18,182.0,7.658787390218044e-05,7.581967229943165,7.227626685750885,3.000002359612611,3.0000828914076307,-17.866666666666664,+
RSA,F19,8.0,6.69551896550012e-11,-3.8618902001976454,-3.755547837859607,-3.8627731630460733,-3.77133021712066,-29.46666666666667,+
RSA,F20,0.0,3.019859359162157e-11,-3.268115527450003,-2.472897140556596,-3.321617941744566,-2.583032166918349,-30.0,+
RSA,F21,78.0,3.964765355918728e-08,-8.796057576788062,-5.05519613416837,-10.146243784186378,-5.055196069588364,-24.799999999999997,+
RSA,F22,31.0,6.121039395876218e-10,-9.33642620256563,-5.087667829718134,-10.395847233756049,-5.087667579897214,-27.933333333333334,+
RSA,F23,60.0,8.48477290014798e-09,-9.125356316648064,-5.128473680886888,-10.531793950747328,-5.128473474492594,-26.0,+
SHO,F1,0.0,1.2117803970059759e-12,0.0,8.119773499838484e-199,0.0,2.4393585089768185e-205,-30.0,+
SHO,F2,0.0,1.2117803970059759e-12,0.0,6.01426664942133e-105,0.0,2.2901664617089795e-110,-30.0,+
SHO,F3,0.0,1.2117803970059759e-12,0.0,5.83620696051569e-158,0.0,1.2450280049943192e-165,-30.0,+
SHO,F4,0.0,1.2117803970059759e-12,0.0,1.8786940100097197e-89,0.0,7.045026632039333e-91,-30.0,+
SHO,F5,41.0,1.5465212858330377e-09,28.28397508632145,28.929499847009076,28.64996281544036,28.93329454662822,-27.266666666666666,+
SHO,F6,0.0,3.019859359162157e-11,0.30580962071749707,5.802005336281429,0.03765921359450068,5.781648508423919,-30.0,+
SHO,F7,546.0,0.1579756891505133,0.00011104732198866423,6.764424512194067e-05,9.083376248303354e-05,5.163246868423433e-05,6.400000000000002,~
SHO,F8,0.0,3.019859359162157e-11,-7330.6879735550465,-2975.1441260620677,-5971.476683462198,-2918.8605589400277,-30.0,+
SHO,F9,450.0,1.0,0.0,0.0,0.0,0.0,0.0,~
SHO,F10,435.0,0.33371069574356604,4.440892098500626e-16,5.625129991434126e-16,4.440892098500626e-16,4.440892098500626e-16,-1.0,~
SHO,F11,450.0,1.0,0.0,0.0,0.0,0.0,0.0,~
SHO,F12,119.0,1.0277332588914457e-06,0.27797407424104503,0.8277594375673689,1.3293752101512104e-06,0.8270050934898414,-22.066666666666666,+
SHO,F13,8.0,6.69551896550012e-11,1.349836846029414,2.9489252913951773,1.7544567025241515,2.9592246894567658,-29.46666666666667,+
SHO,F14,138.0,4.112694625818826e-06,3.5386512291585395,8.63212885557612,0.9980038385337332,7.874141297047951,-20.799999999999997,+
SHO,F15,13.0,1.0936695631098952e-10,0.000327086928171355,0.012896009905296546,0.0003211329667508688,0.0028475831596871176,-29.133333333333336,+
SHO,F16,0.0,3.019859359162157e-11,-1.0316284300630985,-1.0170648655989025,-1.0316284384435512,-1.0275882986405314,-30.0,+
SHO,F17,3.0,4.0771648468253186e-11,0.3978903317325324,0.6725908153102587,0.39788944539483406,0.5747695318634003,-29.799999999999997,+
SHO,F18,136.0,3.5708008787916228e-06,7.581967229943165,9.725760609535712,3.000002359612611,3.1380844227768403,-20.933333333333334,+
SHO,F19,5.0,4.9751664405934084e-11,-3.8618902001976454,-3.4691093069259487,-3.8627731630460733,-3.5341400270633017,-29.66666666666667,+
SHO,F20,0.0,3.019859359162157e-11,-3.268115527450003,-2.0129246297802337,-3.321617941744566,-1.9674149166263537,-30.0,+
SHO,F21,8.0,6.69551896550012e-11,-8.796057576788062,-3.0451790505203165,-10.146243784186378,-2.957114408133358,-29.46666666666667,+
SHO,F22,0.0,3.019859359162157e-11,-9.33642620256563,-2.6034523910911513,-10.395847233756049,-2.5306368206174366,-30.0,+
SHO,F23,22.0,2.609852787955853e-10,-9.125356316648064,-2.780659805612452,-10.531793950747328,-2.5693698933589095,-28.53333333333333,+
GJO,F1,0.0,1.2117803970059759e-12,0.0,1.3274992163798202e-54,0.0,3.083812658912421e-55,-30.0,+
GJO,F2,0.0,1.2117803970059759e-12,0.0,1.929748906731768e-32,0.0,1.0184595501223863e-32,-30.0,+
GJO,F3,0.0,1.2117803970059759e-12,0.0,7.538773479802854e-18,0.0,1.0752702114128127e-19,-30.0,+
GJO,F4,0.0,1.2117803970059759e-12,0.0,9.321039585839657e-16,0.0,1.345449813720756e-16,-30.0,+
GJO,F5,641.0,0.00485601639666783,28.28397508632145,27.77854788017742,28.64996281544036,27.968647831867845,12.733333333333334,-
GJO,F6,34.0,8.101362326146452e-10,0.30580962071749707,2.6658939877684893,0.03765921359450068,2.7448820941148444,-27.733333333333334,+
GJO,F7,100.0,2.3768200504545059e-07,0.00011104732198866423,0.0005926206902335441,9.083376248303354e-05,0.0004273671673309163,-23.333333333333332,+
GJO,F8,103.0,3.0102616021326514e-07,-7330.6879735550465,-4002.014326890116,-5971.476683462198,-3508.419616517732,-23.133333333333336,+
GJO,F9,450.0,1.0,0.0,0.0,0.0,0.0,0.0,~
GJO,F10,0.0,2.0077417333793146e-13,4.440892098500626e-16,7.0758214102776645e-15,4.440892098500626e-16,7.549516567451064e-15,-30.0,+
GJO,F11,450.0,1.0,0.0,0.0,0.0,0.0,0.0,~
GJO,F12,312.0,0.04206682132383563,0.27797407424104503,0.23310582055774492,1.3293752101512104e-06,0.2097747086741742,-9.200000000000003,+
GJO,F13,478.0,0.6843225867624494,1.349836846029414,1.5968334133989301,1.7544567025241515,1.5291487671029187,1.8666666666666671,~
GJO,F14,216.0,0.0005557156713564485,3.5386512291585395,6.7911509664779945,0.9980038385337332,6.872642911840499,-15.599999999999998,+
GJO,F15,66.0,1.4294165868692731e-08,0.000327086928171355,0.0018874966827487011,0.0003211329667508688,0.0004852051618358281,-25.599999999999998,+
GJO,F16,90.0,1.0665677738596443e-07,-1.0316284300630985,-1.0316282801850938,-1.0316284384435512,-1.0316283338971797,-24.0,+
GJO,F17,175.0,4.942599819037003e-05,0.3978903317325324,0.39790611810064896,0.39788944539483406,0.39789462448762336,-18.333333333333332,+
GJO,F18,550.0,0.14127750644049156,7.581967229943165,3.0000039035487864,3.000002359612611,3.00000107530097,6.666666666666668,~
GJO,F19,132.0,2.6784187792783593e-06,-3.8618902001976454,-3.8604273093187946,-3.8627731630460733,-3.8626504569515854,-21.200000000000003,+
GJO,F20,271.0,0.00831460908674944,-3.268115527450003,-3.1486707646054564,-3.321617941744566,-3.13337409953957,-11.933333333333334,+
GJO,F21,274.0,0.009468269708615267,-8.796057576788062,-8.385308224927272,-10.146243784186378,-10.135062275288764,-11.733333333333334,+
GJO,F22,381.0,0.31118764341027494,-9.33642620256563,-10.0391907297611,-10.395847233756049,-10.391058117493397,-4.599999999999998,~
GJO,F23,287.0,0.0162848089481173,-9.125356316648064,-9.842883510855026,-10.531793950747328,-10.522786702220731,-10.866666666666664,+
