Function,Algorithm,Best,Mean,STD_sample_ddof1,Rank_by_Mean,MeanRank_23,FinalRank
F13,GWO,0.20411585593748885,0.5791880166109363,0.21517513715836484,2.0,4.086956521739131,2.0
F13,ALO,0.7153954617425164,49.00580663806559,21.31142570940436,8.0,5.478260869565218,6.0
F13,SCA,3.5144212630254064,259066.85515907203,1192915.0397040125,9.0,7.3478260869565215,9.0
F13,SSA,0.1918379873076838,17.829293900969297,14.919376589523488,7.0,4.6521739130434785,5.0
F13,AOA,3.0,3.0,0.0,6.0,5.608695652173913,7.0
F13,RSA,6.052953134889672e-30,0.4,1.0372377109252813,1.0,4.608695652173913,4.0
F13,SHO,2.673675408926651,2.9489252913951773,0.06747249014394162,5.0,6.130434782608695,8.0
F13,GJO,1.1853676388664711,1.5968334133989301,0.22990805792321167,4.0,4.217391304347826,3.0
F14,SCHO,0.9980038377956877,3.5386512291585395,4.246782794346455,4.0,2.869565217391304,1.0
F14,GWO,0.9980038377957854,4.487022111380957,4.412326500925992,5.0,4.086956521739131,2.0
F14,ALO,0.9980038377944498,3.190088272147365,3.369464937867306,3.0,5.478260869565218,6.0
F14,SCA,0.9980040320251354,1.8586190079098122,0.9992583748701752,2.0,7.3478260869565215,9.0
F14,SSA,0.9980038377944496,0.9980038377944498,2.142511238099088e-16,1.0,4.6521739130434785,5.0
F14,AOA,2.4227858613295914,11.44099018855164,2.8353084912150583,9.0,5.608695652173913,7.0
F14,RSA,1.0080621874015048,5.093949577791363,3.816504127899273,6.0,4.608695652173913,4.0
F14,SHO,1.0088721462831456,8.63212885557612,3.9776239311905055,8.0,6.130434782608695,8.0
F14,GJO,0.9980038378574012,6.7911509664779945,4.914400286817923,7.0,4.217391304347826,3.0
F15,SCHO,0.0003077648582130732,0.000327086928171355,1.8054233568453238e-05,1.0,2.869565217391304,1.0
F15,GWO,0.0003088560933697006,0.003859943730096754,0.007513994700157372,7.0,4.086956521739131,2.0
F15,ALO,0.0005958787640677097,0.001635891180304028,0.0022048764384537908,4.0,5.478260869565218,6.0
F15,SCA,0.00045818533468568824,0.0011111708860335654,0.0003505787297635181,3.0,7.3478260869565215,9.0
F15,SSA,0.0003486744085392033,0.0008422683785653082,0.0002457984461314947,2.0,4.6521739130434785,5.0
F15,AOA,0.01594219647042139,0.10632991372960951,0.048010344824005374,9.0,5.608695652173913,7.0
F15,RSA,0.0007431483650523538,0.0026343053489724633,0.0020496667112337584,6.0,4.608695652173913,4.0
F15,SHO,0.00032867667048947776,0.012896009905296546,0.018523231852572923,8.0,6.130434782608695,8.0
F15,GJO,0.0003171282850344247,0.0018874966827487011,0.005030053694784083,5.0,4.217391304347826,3.0
F16,SCHO,-1.0316284528078135,-1.0316284300630985,2.4104000853274904e-08,3.0,2.869565217391304,1.0
F16,GWO,-1.0316284520708647,-1.0316284299468077,2.2910503739869846e-08,4.0,4.086956521739131,2.0
F16,ALO,-1.0316284534898652,-1.0316284534897433,1.2260349521584523e-13,2.0,5.478260869565218,6.0
F16,SCA,-1.0316284261949384,-1.03158851662976,4.3682659665490675e-05,6.0,7.3478260869565215,9.0
F16,SSA,-1.0316284534898768,-1.0316284534898594,2.3055061007139555e-14,1.0,4.6521739130434785,5.0
F16,AOA,-0.9752849160492642,-0.48681033213198516,0.4127256840121139,9.0,5.608695652173913,7.0
F16,RSA,-1.0316253989132844,-1.0305462336719884,0.0011943520151102914,7.0,4.608695652173913,4.0
F16,SHO,-1.0316267374143644,-1.0170648655989025,0.04515808193954414,8.0,6.130434782608695,8.0
F16,GJO,-1.0316284415218702,-1.0316282801850938,1.5602588827564883e-07,5.0,4.217391304347826,3.0
F17,SCHO,0.39788743113709835,0.3978903317325324,2.9792837484746484e-06,3.0,2.869565217391304,1.0
F17,GWO,0.39788740880273465,0.39794749290321907,0.00031678025751756507,5.0,4.086956521739131,2.0
F17,ALO,0.39788735772973816,0.3978873577298144,6.923211931692179e-14,2.0,5.478260869565218,6.0
F17,SCA,0.3979304399057959,0.40014664742945527,0.002601875697729237,6.0,7.3478260869565215,9.0
F17,SSA,0.39788735772973816,0.39788735772976386,3.254355474791511e-14,1.0,4.6521739130434785,5.0
F17,AOA,0.3983309588488382,0.4108245558789635,0.011143188313505317,7.0,5.608695652173913,7.0
F17,RSA,0.39797309215055776,0.43369120058053234,0.06907486056377017,8.0,4.608695652173913,4.0
F17,SHO,0.39789522195685834,0.6725908153102587,0.30428264854161385,9.0,6.130434782608695,8.0
F17,GJO,0.3978873917864476,0.39790611810064896,2.4848909944985636e-05,4.0,4.217391304347826,3.0
F18,SCHO,3.0000000138307645,7.581967229943165,15.585037851471096,7.0,2.869565217391304,1.0
F18,GWO,3.0000002147529057,3.000021238395611,2.359786231491563e-05,4.0,4.086956521739131,2.0
F18,ALO,2.999999999999937,3.000000000000204,3.4079105600811844e-13,2.0,5.478260869565218,6.0
F18,SCA,3.0000000583642166,3.000101450045904,0.00013970172316726668,5.0,7.3478260869565215,9.0
F18,SSA,2.9999999999999467,3.000000000000171,2.8101206100262286e-13,1.0,4.6521739130434785,5.0
F18,AOA,3.020964228044348,70.75618145236271,92.48031195561903,9.0,5.608695652173913,7.0
F18,RSA,3.000000340212772,7.227626685750885,9.906272794692766,6.0,4.608695652173913,4.0
F18,SHO,3.0000014343264896,9.725760609535712,16.592879151544704,8.0,6.130434782608695,8.0
F18,GJO,3.0000000000919513,3.0000039035487864,6.670177865058615e-06,3.0,4.217391304347826,3.0
F19,SCHO,-3.8627797611179417,-3.8618902001976454,0.0023684505685034494,3.0,2.869565217391304,1.0
F19,GWO,-3.8627791816728667,-3.8606796114968946,0.003052874005128605,4.0,4.086956521739131,2.0
F19,ALO,-3.8627797873326526,-3.8627797873324488,3.8105039606804695e-13,1.0,5.478260869565218,6.0
F19,SCA,-3.8619124721791644,-3.854371134386119,0.0037996533633054145,6.0,7.3478260869565215,9.0
F19,SSA,-3.862779787332655,-3.862779787328964,1.1603335223516656e-11,2.0,4.6521739130434785,5.0
F19,AOA,-3.8604318277627647,-3.8519394316075592,0.0035393492054813856,7.0,5.608695652173913,7.0
F19,RSA,-3.860443542132006,-3.755547837859607,0.07993722652211298,8.0,4.608695652173913,4.0
F19,SHO,-3.8578724245600946,-3.4691093069259487,0.37545051904539645,9.0,6.130434782608695,8.0
F19,GJO,-3.862776375625425,-3.8604273093187946,0.003508105889251228,5.0,4.217391304347826,3.0
F20,SCHO,-3.3221333126080093,-3.268115527450003,0.07706500785902956,3.0,2.869565217391304,1.0
F20,GWO,-3.3223660288345034,-3.2740174885077735,0.06792805563251232,2.0,4.086956521739131,2.0
F20,ALO,-3.3223680114152816,-3.2783982572542345,0.05877837031467001,1.0,5.478260869565218,6.0
F20,SCA,-3.145960792706478,-2.8673093297120844,0.3987443360392753,7.0,7.3478260869565215,9.0
F20,SSA,-3.3223680114150596,-3.2097506237531577,0.0531553233128312,4.0,4.6521739130434785,5.0
F20,AOA,-3.1885197266389445,-3.04675373081566,0.10304379685964479,6.0,5.608695652173913,7.0
F20,RSA,-3.0047333675192047,-2.472897140556596,0.44683531508121693,8.0,4.608695652173913,4.0
F20,SHO,-3.0744111232011226,-2.0129246297802337,0.602899385612037,9.0,6.130434782608695,8.0
F20,GJO,-3.3223515166429296,-3.1486707646054564,0.13331109212958783,5.0,4.217391304347826,3.0
F21,SCHO,-10.1531965737984,-8.796057576788062,2.2798134412463646,2.0,2.869565217391304,1.0
F21,GWO,-10.152642355649999,-9.814392267919146,1.2820136413221859,1.0,4.086956521739131,2.0
