Dimension,Comparator,Function,U,PValue,SCHO_Mean,Comparator_Mean,SCHO_Median,Comparator_Median,MeanRankDelta_SCHO_minus_Comparator,Symbol
100,AOA,F13,26.0,3.9618019345019995e-11,9.880470448327909,9.993675464241724,9.893533745494278,10.0,-28.266666666666666,+
100,RSA,F1,450.0,1.0,0.0,0.0,0.0,0.0,0.0,~
100,RSA,F2,600.0,0.0006616739106290902,4.27114858166035e-262,0.0,0.0,0.0,10.0,-
100,RSA,F3,450.0,1.0,0.0,0.0,0.0,0.0,0.0,~
100,RSA,F4,645.0,6.609642240785548e-05,6.35646047068111e-251,0.0,0.0,0.0,13.0,-
100,RSA,F5,0.0,1.2117803970059759e-12,98.89215441081205,99.0,98.94814535317644,99.0,-30.0,+
100,RSA,F6,0.0,1.7202510031315483e-12,12.667422784802788,24.975700342315868,16.487427885504786,25.0,-30.0,+
100,RSA,F7,365.5,0.2141682592107622,7.193890143068213e-05,0.00011612476077302128,4.580303732113537e-05,6.223454072079582e-05,-5.633333333333336,~
100,RSA,F8,714.0,9.772044861879143e-05,-14398.201548524758,-16314.343937544601,-11401.3507928121,-16433.613426356653,17.599999999999998,-
100,RSA,F9,450.0,1.0,0.0,0.0,0.0,0.0,0.0,~
100,RSA,F10,450.0,1.0,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,0.0,~
100,RSA,F11,450.0,1.0,0.0,0.0,0.0,0.0,0.0,~
100,RSA,F12,0.0,1.2117803970059759e-12,0.9171758559995229,1.3253594007331935,1.1222029139351561,1.325359400733194,-30.0,+
100,RSA,F13,0.0,1.2117803970059759e-12,9.880470448327909,10.0,9.893533745494278,10.0,-30.0,+
100,SHO,F1,0.0,1.2117803970059759e-12,0.0,1.2898825405512023e-187,0.0,6.19029183076001e-191,-30.0,+
100,SHO,F2,0.0,1.2709849497708895e-11,4.27114858166035e-262,2.279330188570466e-102,0.0,2.570160422689679e-103,-30.0,+
100,SHO,F3,0.0,1.2117803970059759e-12,0.0,1.1616317550587516e-140,0.0,6.140974191517519e-150,-30.0,+
100,SHO,F4,0.0,1.7894851037736772e-11,6.35646047068111e-251,3.608943321788903e-82,0.0,1.0102479469611948e-83,-30.0,+
100,SHO,F5,501.0,0.4552969069031376,98.89215441081205,98.9331238897698,98.94814535317644,98.93401177354593,3.400000000000002,~
100,SHO,F6,1.0,3.3383888204287995e-11,12.667422784802788,23.357769565427184,16.487427885504786,23.45926026207139,-29.933333333333337,+
100,SHO,F7,465.0,0.8302552839111963,7.193890143068213e-05,5.7397729786235443e-05,4.580303732113537e-05,5.381205606861175e-05,1.0,~
100,SHO,F8,0.0,3.019859359162157e-11,-14398.201548524758,-5419.576127568749,-11401.3507928121,-5282.672455898488,-30.0,+
100,SHO,F9,450.0,1.0,0.0,0.0,0.0,0.0,0.0,~
100,SHO,F10,420.0,0.16074199750363027,4.440892098500626e-16,6.809367884367627e-16,4.440892098500626e-16,4.440892098500626e-16,-2.0,~
100,SHO,F11,450.0,1.0,0.0,0.0,0.0,0.0,0.0,~
100,SHO,F12,487.0,0.5894511694056184,0.9171758559995229,1.082561394904599,1.1222029139351561,1.0849340738028048,2.4666666666666686,~
100,SHO,F13,2.0,3.6897258539809896e-11,9.880470448327909,9.984228579315895,9.893533745494278,9.993477710914746,-29.866666666666664,+
100,GJO,F1,0.0,1.2117803970059759e-12,0.0,6.266083922904467e-28,0.0,2.5391332838073467e-28,-30.0,+
100,GJO,F2,0.0,1.2709849497708895e-11,4.27114858166035e-262,1.1170295761187682e-17,0.0,1.0537638402373026e-17,-30.0,+
100,GJO,F3,0.0,1.2117803970059759e-12,0.0,2.029212310246952,0.0,0.010561597212787759,-30.0,+
100,GJO,F4,0.0,1.7894851037736772e-11,6.35646047068111e-251,7.3602382067492576,0.0,2.362185770626596,-30.0,+
100,GJO,F5,900.0,3.019859359162157e-11,98.89215441081205,98.33672829476556,98.94814535317644,98.46826132544103,30.0,-
100,GJO,F6,476.0,0.7061714882812296,12.667422784802788,16.392500519704463,16.487427885504786,16.426385655628394,1.7333333333333343,~
100,GJO,F7,4.0,4.504322112705282e-11,7.193890143068213e-05,0.0013065756070519247,4.580303732113537e-05,0.0011502895182325542,-29.733333333333334,+
100,GJO,F8,331.0,0.07978164712498097,-14398.201548524758,-10225.021775243526,-11401.3507928121,-11079.839694381972,-7.933333333333334,~
100,GJO,F9,450.0,1.0,0.0,0.0,0.0,0.0,0.0,~
100,GJO,F10,0.0,1.0205216171180424e-12,4.440892098500626e-16,5.337952302397753e-14,4.440892098500626e-16,5.0182080713057076e-14,-30.0,+
100,GJO,F11,450.0,1.0,0.0,0.0,0.0,0.0,0.0,~
100,GJO,F12,703.0,0.00018916193602108462,0.9171758559995229,0.600628044608424,1.1222029139351561,0.5867280302562257,16.866666666666664,-
100,GJO,F13,900.0,3.019859359162157e-11,9.880470448327909,8.32692929572404,9.893533745494278,8.38762624779267,30.0,-
