Dimension,Function,Algorithm,Runs,Best,Average,STD_sample_ddof1,Rank_by_Average
100,F12,SSA,30,17.941198280507116,36.33885358772576,11.719238638093607,7.0
100,F12,AOA,30,1.325359400733194,1.3253594007331935,0.0,5.5
100,F12,RSA,30,1.325359400733194,1.3253594007331935,0.0,5.5
100,F12,SHO,30,0.9538010555173922,1.082561394904599,0.05493125437485199,4.0
100,F12,GJO,30,0.4611056363423659,0.600628044608424,0.0744057302932817,2.0
100,F13,SCHO,30,9.79380539539358,9.880470448327909,0.031211110361844034,3.0
100,F13,GWO,30,5.681635200002331,6.674625117248514,0.4120199818586935,1.0
100,F13,ALO,30,8123.2939491013185,155697.49291820131,199023.256417048,8.0
100,F13,SCA,30,194237927.78041798,658920250.2896582,338750377.7498591,9.0
100,F13,SSA,30,206.67848888578894,5228.237920225631,9955.042473024323,7.0
100,F13,AOA,30,9.846453667913138,9.993675464241724,0.02857909825182625,5.0
100,F13,RSA,30,10.0,10.0,0.0,6.0
100,F13,SHO,30,9.908791430379061,9.984228579315895,0.021139747978605045,4.0
100,F13,GJO,30,7.522898279741103,8.32692929572404,0.30637507717505535,2.0
500,F1,SCHO,30,0.0,0.0,0.0,2.0
500,F1,GWO,30,0.0009145414561245941,0.0016142129187888263,0.0004958697633638812,6.0
500,F1,ALO,30,115247.43747393781,172069.1665321939,40600.07615716951,8.0
500,F1,SCA,30,114696.1619945425,214158.6322273326,60592.484103609524,9.0
500,F1,SSA,30,74521.46474221894,94989.86835926841,6435.505468659195,7.0
500,F1,AOA,30,0.0,0.0,0.0,2.0
500,F1,RSA,30,0.0,0.0,0.0,2.0
500,F1,SHO,30,1.6513015067014647e-189,7.782004087475102e-180,3.0722768570740368e-179,4.0
500,F1,GJO,30,4.336087253619506e-14,8.62795569138411e-13,1.1313353173435618e-12,5.0
500,F2,SCHO,30,0.0,8.114903523550659e-217,4.2201779961101366e-216,3.0
500,F2,GWO,30,0.007887394159162724,0.010864160876580776,0.002123964448210297,6.0
500,F2,ALO,30,1136.632330164437,1.1364305023209758e+239,6.224486211581254e+239,9.0
500,F2,SCA,30,18.452688230399637,95.05466770471025,44.43450769662296,7.0
500,F2,SSA,30,477.0324707789438,539.0112354585585,20.04060633612409,8.0
500,F2,AOA,30,0.0,0.0,0.0,1.5
500,F2,RSA,30,0.0,0.0,0.0,1.5
500,F2,SHO,30,4.5531489658164864e-102,9.836290808830308e-97,4.510488911336368e-96,4.0
500,F2,GJO,30,2.6039632225889703e-09,5.8600772482032874e-09,2.5716373901853726e-09,5.0
