Function,Family,Algorithm,Runs,Population,MaxIter,Dimension,Optimum,Best,Mean,Std_sample_ddof1,Std_population_ddof0,Worst,BestError,MeanError,WorstError
F11,simple_multimodal,SCHO,30,30,500,10,1100.0,1383.3248588673569,2003.7949202246614,369.5607785810506,363.3492306719775,2583.427170116018,283.32485886735685,903.7949202246615,1483.4271701160178
F12,simple_multimodal,GWO,30,30,500,10,1200.0,1200.1128610584851,1201.3144932546295,0.6419038023446844,0.6311147347477674,1202.3296844792305,0.11286105848512307,1.3144932546292314,2.3296844792305365
F12,simple_multimodal,SCHO,30,30,500,10,1200.0,1200.3018497614564,1200.9377738098044,0.38389750477773665,0.3774449863252744,1201.6905176417872,0.30184976145642395,0.9377738098042301,1.6905176417872099
F13,simple_multimodal,GWO,30,30,500,10,1300.0,1300.102238021981,1300.230681870809,0.056676379946350164,0.05572376790050132,1300.34350715549,0.10223802198106569,0.2306818708087576,0.3435071554899878
F13,simple_multimodal,SCHO,30,30,500,10,1300.0,1300.1855348634206,1300.5870018692317,0.2101003098643852,0.20656896071677125,1301.0146145633066,0.18553486342057113,0.5870018692314791,1.0146145633066226
F14,simple_multimodal,GWO,30,30,500,10,1400.0,1400.1546066142037,1400.3883158506264,0.22838078644387705,0.22454218051292646,1401.2386306239425,0.15460661420365795,0.3883158506264711,1.2386306239425267
F14,simple_multimodal,SCHO,30,30,500,10,1400.0,1400.226830295567,1401.0941991668392,1.3416016322294853,1.3190520996587378,1405.4039494757105,0.22683029556696965,1.0941991668390074,5.403949475710533
F15,simple_multimodal,GWO,30,30,500,10,1500.0,1500.6984226252757,1502.1822808396757,0.91243530635073,0.89709916694468,1504.0222851348217,0.6984226252757253,2.182280839675665,4.022285134821686
F15,simple_multimodal,SCHO,30,30,500,10,1500.0,1503.0640652646694,1537.253380027974,107.0350339746745,105.23599771320839,1976.6035776286137,3.0640652646693525,37.25338002797358,476.6035776286137
F16,simple_multimodal,GWO,30,30,500,10,1600.0,1601.7985900077792,1602.9203723153335,0.5162005285861078,0.5075242715268152,1603.995373237494,1.7985900077792394,2.9203723153337857,3.99537323749405
F16,simple_multimodal,SCHO,30,30,500,10,1600.0,1602.7248680470439,1603.43457325369,0.2778351630300841,0.2731653319061949,1603.978736283676,2.7248680470438558,3.4345732536896016,3.978736283675971
F17,hybrid,GWO,30,30,500,10,1700.0,3751.5016273840406,133505.71502113764,196130.84272048582,192834.29125557432,613557.5002066307,2051.5016273840406,131805.71502113764,611857.5002066307
