Variant,Function,SCHO_Average,Variant_Average,Comparison,SCHO_Credit,Variant_Credit,AbsoluteMeanDifference
V8,F14,3.53865122915854,3.5386512291483476,TIE,1,1,1.0192291455268787e-11
V8,F15,0.000327086928171355,0.0003265626848674667,V8,0,1,5.242433038883318e-07
V8,F16,-1.0316284300630985,-1.0316284296170708,TIE,1,1,4.4602765925105814e-10
V8,F17,0.3978903317325324,0.3978898929469515,V8,0,1,4.387855809251384e-07
V8,F18,7.5819672299431655,7.571164777840936,V8,0,1,0.01080245210222941
V8,F19,-3.8618902001976454,-3.8619299952685013,V8,0,1,3.979507085594136e-05
V8,F20,-3.268115527450003,-3.267595141131736,SCHO,1,0,0.0005203863182670077
V8,F21,-8.796057576788064,-8.294463329323438,SCHO,1,0,0.5015942474646256
V8,F22,-9.33642620256563,-9.083355754124613,SCHO,1,0,0.2530704484410169
V8,F23,-9.125356316648064,-8.86716306514141,SCHO,1,0,0.25819325150665406
V9,F1,0.0,7.645910705336211e-264,TIE,1,1,7.645910705336211e-264
V9,F2,0.0,1.9912027231004588e-143,TIE,1,1,1.9912027231004588e-143
V9,F3,0.0,4.221089058169878e-250,TIE,1,1,4.221089058169878e-250
V9,F4,0.0,5.4020172604764546e-127,TIE,1,1,5.4020172604764546e-127
V9,F5,28.283975086321448,27.896772682222753,V9,0,1,0.38720240409869433
V9,F6,0.305809620717497,0.9119580374692045,SCHO,1,0,0.6061484167517075
V9,F7,0.00011541545651241324,0.0001187169325704135,SCHO,1,0,3.301476058000259e-06
V9,F8,-7330.687973555046,-6662.939954676286,SCHO,1,0,667.7480188787595
V9,F9,0.0,0.0,TIE,1,1,0.0
V9,F10,4.440892098500626e-16,4.440892098500626e-16,TIE,1,1,0.0
V9,F11,0.0,0.0,TIE,1,1,0.0
V9,F12,0.27797407424104503,0.006229068310965617,V9,0,1,0.27174500593007944
V9,F13,1.349836846029414,0.9855106865022074,V9,0,1,0.3643261595272065
V9,F14,3.53865122915854,2.1145910540899306,V9,0,1,1.4240601750686093
V9,F15,0.000327086928171355,0.00032156237966166263,V9,0,1,5.524548509692388e-06
V9,F16,-1.0316284300630985,-1.0316283280236092,SCHO,1,0,1.0203948930254114e-07
V9,F17,0.3978903317325324,0.3978961344031115,SCHO,1,0,5.802670579091451e-06
V9,F18,7.5819672299431655,5.700004378832872,V9,0,1,1.881962851110294
V9,F19,-3.8618902001976454,-3.8612489723982026,SCHO,1,0,0.0006412277994427562
V9,F20,-3.268115527450003,-3.244933848534875,SCHO,1,0,0.023181678915128234
V9,F21,-8.796057576788064,-8.204714030676971,SCHO,1,0,0.5913435461110925
V9,F22,-9.33642620256563,-8.905021420276361,SCHO,1,0,0.4314047822892686
V9,F23,-9.125356316648064,-9.810596564929664,V9,0,1,0.6852402482816
V10,F1,0.0,0.0,TIE,1,1,0.0
V10,F2,0.0,0.0,TIE,1,1,0.0
V10,F3,0.0,0.0,TIE,1,1,0.0
V10,F4,0.0,0.0,TIE,1,1,0.0
V10,F5,28.283975086321448,28.284447586567023,SCHO,1,0,0.0004725002455749916
V10,F6,0.305809620717497,0.29586734754385235,V10,0,1,0.009942273173644656
V10,F7,0.00011541545651241324,0.00011541545651241324,TIE,1,1,0.0
V10,F8,-7330.687973555046,-7254.607332631448,SCHO,1,0,76.08064092359746
V10,F9,0.0,0.0,TIE,1,1,0.0
V10,F10,4.440892098500626e-16,4.440892098500626e-16,TIE,1,1,0.0
V10,F11,0.0,0.0,TIE,1,1,0.0
V10,F12,0.27797407424104503,0.2782034887296702,SCHO,1,0,0.00022941448862517921
V10,F13,1.349836846029414,1.340627150532993,V10,0,1,0.009209695496420922
V10,F14,3.53865122915854,3.5386512291557035,TIE,1,1,2.83639778331235e-12
V10,F15,0.000327086928171355,0.00032549953243998884,V10,0,1,1.5873957313661843e-06
V10,F16,-1.0316284300630985,-1.0316284300630985,TIE,1,1,0.0
V10,F17,0.3978903317325324,0.3978903317325324,TIE,1,1,0.0
V10,F18,7.5819672299431655,7.581967229943177,TIE,1,1,1.1546319456101628e-14
V10,F19,-3.8618902001976454,-3.861890209481228,V10,0,1,9.283582791397293e-09
V10,F20,-3.268115527450003,-3.268113809410619,SCHO,1,0,1.7180393840909858e-06
V10,F21,-8.796057576788064,-8.795035200397848,SCHO,1,0,0.0010223763902157401
V10,F22,-9.33642620256563,-9.338437850666567,V10,0,1,0.0020116481009377907
V10,F23,-9.125356316648064,-9.124668228780468,SCHO,1,0,0.00068808786759611
V11,F1,0.0,0.0,TIE,1,1,0.0
V11,F2,0.0,0.0,TIE,1,1,0.0
V11,F3,0.0,0.0,TIE,1,1,0.0
V11,F4,0.0,0.0,TIE,1,1,0.0
V11,F5,28.283975086321448,28.283972217980644,V11,0,1,2.8683408039853475e-06
V11,F6,0.305809620717497,0.30584453174227266,SCHO,1,0,3.491102477565233e-05
V11,F7,0.00011541545651241324,0.00011541545651241324,TIE,1,1,0.0
V11,F8,-7330.687973555046,-7330.674796800678,SCHO,1,0,0.013176754367123067
V11,F9,0.0,0.0,TIE,1,1,0.0
V11,F10,4.440892098500626e-16,4.440892098500626e-16,TIE,1,1,0.0
V11,F11,0.0,0.0,TIE,1,1,0.0
V11,F12,0.27797407424104503,0.2779734910620656,V11,0,1,5.831789794408238e-07
