Function,Family,Algorithm,Run,Seed,Population,MaxIter,Dimension,Optimum,BestScore,Error,Curve0,CurveLast,Status
F23,composition,GWO,28,1027,30,500,10,2300.0,2630.4925766321703,330.4925766321703,2854.1441552107112,2630.4925766321703,PASS
F23,composition,GWO,29,1028,30,500,10,2300.0,2629.8432981933265,329.8432981933265,3013.5018323844324,2629.8432981933265,PASS
F23,composition,GWO,30,1029,30,500,10,2300.0,2630.611544601577,330.61154460157695,3358.458729873501,2630.611544601577,PASS
F23,composition,SCHO,1,1000,30,500,10,2300.0,2500.0,200.0,3282.0098177831915,2500.0,PASS
F23,composition,SCHO,2,1001,30,500,10,2300.0,2500.0,200.0,2872.6669891174524,2500.0,PASS
F23,composition,SCHO,3,1002,30,500,10,2300.0,2500.0,200.0,2836.1513903432015,2500.0,PASS
F23,composition,SCHO,4,1003,30,500,10,2300.0,2500.0,200.0,3025.717022297851,2500.0,PASS
F23,composition,SCHO,5,1004,30,500,10,2300.0,2500.0,200.0,3343.4091237476523,2500.0,PASS
F23,composition,SCHO,6,1005,30,500,10,2300.0,2500.0,200.0,3185.842426885616,2500.0,PASS
F23,composition,SCHO,7,1006,30,500,10,2300.0,2500.0,200.0,3130.676107612051,2500.0,PASS
F23,composition,SCHO,8,1007,30,500,10,2300.0,2500.0,200.0,3143.6513915978785,2500.0,PASS
F23,composition,SCHO,9,1008,30,500,10,2300.0,2500.0,200.0,3618.8315369017273,2500.0,PASS
F23,composition,SCHO,10,1009,30,500,10,2300.0,2500.0,200.0,3204.4870307020838,2500.0,PASS
F23,composition,SCHO,11,1010,30,500,10,2300.0,2500.0,200.0,2908.1791428562547,2500.0,PASS
F23,composition,SCHO,12,1011,30,500,10,2300.0,2500.0,200.0,2829.9624157282374,2500.0,PASS
F23,composition,SCHO,13,1012,30,500,10,2300.0,2500.0,200.0,2907.649701710897,2500.0,PASS
F23,composition,SCHO,14,1013,30,500,10,2300.0,2500.0,200.0,3023.8911567141768,2500.0,PASS
F23,composition,SCHO,15,1014,30,500,10,2300.0,2500.0,200.0,3017.259933628956,2500.0,PASS
F23,composition,SCHO,16,1015,30,500,10,2300.0,2500.0,200.0,3910.581738603954,2500.0,PASS
F23,composition,SCHO,17,1016,30,500,10,2300.0,2500.0,200.0,2874.671595453139,2500.0,PASS
F23,composition,SCHO,18,1017,30,500,10,2300.0,2500.0,200.0,3037.172496919085,2500.0,PASS
F23,composition,SCHO,19,1018,30,500,10,2300.0,2500.0,200.0,3093.991681928096,2500.0,PASS
F23,composition,SCHO,20,1019,30,500,10,2300.0,2500.0,200.0,2743.6916446130663,2500.0,PASS
F23,composition,SCHO,21,1020,30,500,10,2300.0,2500.0,200.0,2841.7974483980565,2500.0,PASS
F23,composition,SCHO,22,1021,30,500,10,2300.0,2500.0,200.0,3070.375926326014,2500.0,PASS
F23,composition,SCHO,23,1022,30,500,10,2300.0,2500.0,200.0,3020.315422718378,2500.0,PASS
F23,composition,SCHO,24,1023,30,500,10,2300.0,2500.0,200.0,3208.8287742951634,2500.0,PASS
F23,composition,SCHO,25,1024,30,500,10,2300.0,2500.0,200.0,3425.0014418073133,2500.0,PASS
