Variant,Function,Runs,Population,MaxIter,Dimension,Optimum,Best,Average,STD_sample_ddof1,STD_population_ddof0,Median,Worst
SCHO_NFF,F2,30,30,500,30,0.0,1.3839511220528302e-10,1.1745540520771482e-08,1.1647137839572905e-08,1.1451373681450214e-08,8.107239246447612e-09,5.885914803086155e-08
SCHO_NFF,F3,30,30,500,30,0.0,2.1697602237201406e-07,0.13367770713438692,0.5187574943051003,0.5100382599711999,0.005867902541216509,2.848366922682195
SCHO_NFF,F4,30,30,500,30,0.0,6.280230089198192e-07,0.0018523558290975957,0.0032371194453131398,0.003182710201455719,0.0005134147813522588,0.016133430497584138
SCHO_NFF,F5,30,30,500,30,0.0,26.471646413831472,28.02506389659168,0.7322975469357879,0.7199891485338975,28.019873420032837,28.848978563900616
SCHO_NFF,F6,30,30,500,30,0.0,2.5681385126445663e-07,1.352693582944236,1.3530820037364697,1.3303395100027349,1.2292760887280603,3.5864922884570363
SCHO_NFF,F7,30,30,500,30,0.0,9.463518824782967e-06,0.0023505920757088974,0.004234699267951514,0.004163522782491142,0.0004357475457919649,0.015298942402827732
SCHO_NFF,F8,30,30,500,30,-12569.487,-12569.419805727886,-5974.105732795912,3113.474038079458,3061.143016304255,-4343.56494040438,-3264.0425344306154
SCHO_NFF,F9,30,30,500,30,0.0,0.0,0.2601250910609367,0.834218147992581,0.8201966763072741,1.4174394991073314e-09,3.6256144423256185
SCHO_NFF,F10,30,30,500,30,0.0,1.7033916499542556e-09,2.0368053717708298e-07,1.6184577318533653e-07,1.5912548241778904e-07,1.569659677791435e-07,6.309259998893424e-07
SCHO_NFF,F11,30,30,500,30,0.0,0.0,0.013769961410848111,0.035549707466449615,0.03495219083622377,2.4578561408361566e-11,0.14470676781276137
SCHO_NFF,F12,30,30,500,30,0.0,6.167424488157921e-10,0.044507925731124616,0.16944494010072986,0.1665969231455029,3.8671956491645796e-07,0.6857594817937903
SCHO_NFF,F13,30,30,500,30,0.0,2.0498376177677867e-07,1.1316637568357881,0.8511230972350315,0.8368174885194827,1.3646870835754723,2.15171957331537
SCHO_NFF,F14,30,30,500,2,1.0,0.9980038377945962,2.8266211416200515,3.4630724353471645,3.4048653917660183,0.9980038383673728,12.67050581113592
SCHO_NFF,F15,30,30,500,4,0.0003,0.0003101093407002826,0.00042031728345866205,9.427635659962762e-05,9.269176716359521e-05,0.00039380240654917536,0.0007732391547444269
SCHO_NFF,F16,30,30,500,2,-1.0316,-1.031628436900496,-1.031626463934001,2.790083331215518e-06,2.7431878344891234e-06,-1.0316275026927029,-1.0316148371993183
SCHO_NFF,F17,30,30,500,2,0.397887,0.3978919897500788,0.3981099915064109,0.0002850141710484902,0.0002802236757339443,0.39802696240417124,0.3991140515765039
SCHO_NFF,F18,30,30,500,2,3.0,3.0000001134312573,3.000011932737938,1.5763265342939045e-05,1.5498317644059726e-05,3.0000047386465516,3.0000565016206635
SCHO_NFF,F19,30,30,500,3,-3.8628,-3.862756416194415,-3.859491455672783,0.003511120443439038,0.003452105812793745,-3.8609582019944524,-3.854551843361181
SCHO_NFF,F20,30,30,500,6,-3.322,-3.3204705252859124,-3.1768619292488895,0.12444189744822015,0.12235028802239452,-3.130953456639177,-2.836531528235208
SCHO_NFF,F21,30,30,500,4,-10.1532,-10.153194259919797,-7.874931544405743,2.6785472893532187,2.633526481467659,-10.138159905352861,-2.6828230250123157
SCHO_NFF,F22,30,30,500,4,-10.4028,-10.402788272139285,-8.332467490559404,3.023150577421883,2.9723377051249393,-10.396429701423127,-2.7517083970005194
SCHO_NFF,F23,30,30,500,4,-10.5363,-10.536297059227605,-7.58412240239901,3.478714787447964,3.420244828468009,-10.527953757192384,-2.8692832143100206
