Function,Dimension,Run,OptimizerSeed,ObjectiveSeed,Population,MaxIter,LowerBound,UpperBound,Optimum,BestScore,Curve0,CurveLast,ElapsedSeconds,Status
F4,100,2,1001,8000402,30,500,-100.0,100.0,0.0,0.0,97.83216085150289,0.0,6.383326000010129,PASS
F4,100,1,1000,8000401,30,500,-100.0,100.0,0.0,5.845708566868615e-270,97.86593272980544,5.845708566868615e-270,6.486889200008591,PASS
F3,100,30,1029,8000330,30,500,-100.0,100.0,0.0,0.0,2971357.0523175607,0.0,6.562155099993106,PASS
F4,100,4,1003,8000404,30,500,-100.0,100.0,0.0,0.0,96.62722632661911,0.0,7.144640800004709,PASS
F4,100,5,1004,8000405,30,500,-100.0,100.0,0.0,0.0,95.71145466791053,0.0,7.1506396000040695,PASS
F4,100,3,1002,8000403,30,500,-100.0,100.0,0.0,1.7549451499375198e-252,93.39631651307167,1.7549451499375198e-252,7.995914200000698,PASS
F4,100,6,1005,8000406,30,500,-100.0,100.0,0.0,0.0,93.22822791028742,0.0,8.035256200004369,PASS
F4,100,10,1009,8000410,30,500,-100.0,100.0,0.0,0.0,98.33828548232668,0.0,6.738877600000706,PASS
F4,100,8,1007,8000408,30,500,-100.0,100.0,0.0,0.0,95.0360752842634,0.0,6.93038130000059,PASS
F4,100,7,1006,8000407,30,500,-100.0,100.0,0.0,0.0,97.02003346373813,0.0,7.021971200010739,PASS
F4,100,9,1008,8000409,30,500,-100.0,100.0,0.0,7.349140734773505e-275,95.49533092706311,7.349140734773505e-275,7.121296299999813,PASS
F4,100,11,1010,8000411,30,500,-100.0,100.0,0.0,1.9051755958897238e-249,95.2291273644658,1.9051755958897238e-249,7.0087069000001065,PASS
F4,100,14,1013,8000414,30,500,-100.0,100.0,0.0,0.0,96.60205655804444,0.0,7.168903600002523,PASS
F4,100,12,1011,8000412,30,500,-100.0,100.0,0.0,0.0,95.40939972492511,0.0,7.417232700012391,PASS
F4,100,13,1012,8000413,30,500,-100.0,100.0,0.0,4.625739941379695e-265,96.18878748178062,4.625739941379695e-265,7.506633400000283,PASS
F4,100,16,1015,8000416,30,500,-100.0,100.0,0.0,0.0,95.70413574169352,0.0,6.903390999999829,PASS
F4,100,18,1017,8000418,30,500,-100.0,100.0,0.0,0.0,96.50286120071006,0.0,6.987506899997243,PASS
