Function,Family,Algorithm,Run,Seed,Population,MaxIter,Dimension,Optimum,BestScore,Error,Curve0,CurveLast,Status
F3,unimodal,GWO,25,1024,30,500,10,300.0,9267.766901741697,8967.766901741697,500747.97115056287,9267.766901741697,PASS
F3,unimodal,GWO,26,1025,30,500,10,300.0,29668.18927681505,29368.18927681505,4938926.444317322,29668.18927681505,PASS
F3,unimodal,GWO,27,1026,30,500,10,300.0,10770.61705009007,10470.61705009007,2758314.856982086,10770.61705009007,PASS
F3,unimodal,GWO,28,1027,30,500,10,300.0,4108.761001575966,3808.7610015759656,41488568.5287358,4108.761001575966,PASS
F3,unimodal,GWO,29,1028,30,500,10,300.0,11515.768779078942,11215.768779078942,51286048.54629031,11515.768779078942,PASS
F3,unimodal,GWO,30,1029,30,500,10,300.0,10163.996028423506,9863.996028423506,9508636.68573909,10163.996028423506,PASS
F3,unimodal,SCHO,1,1000,30,500,10,300.0,18068.37332171433,17768.37332171433,3743135.139342113,18068.37332171433,PASS
F3,unimodal,SCHO,2,1001,30,500,10,300.0,16513.080552429623,16213.080552429623,20155717.40336833,16513.080552429623,PASS
F3,unimodal,SCHO,3,1002,30,500,10,300.0,9985.728491256103,9685.728491256103,1076218.5371627174,9985.728491256103,PASS
F3,unimodal,SCHO,4,1003,30,500,10,300.0,22153.73964945612,21853.73964945612,421001.742666957,22153.73964945612,PASS
F3,unimodal,SCHO,5,1004,30,500,10,300.0,8423.14746836451,8123.14746836451,1648683.028087385,8423.14746836451,PASS
F3,unimodal,SCHO,6,1005,30,500,10,300.0,18913.71264693209,18613.71264693209,73768.12592776952,18913.71264693209,PASS
F3,unimodal,SCHO,7,1006,30,500,10,300.0,20640.752860760866,20340.752860760866,150748.91167239356,20640.752860760866,PASS
F3,unimodal,SCHO,8,1007,30,500,10,300.0,13756.202351167682,13456.202351167682,983725.6596924217,13756.202351167682,PASS
F3,unimodal,SCHO,9,1008,30,500,10,300.0,18691.676972284753,18391.676972284753,38860736.714807086,18691.676972284753,PASS
F3,unimodal,SCHO,10,1009,30,500,10,300.0,2367.781210831409,2067.781210831409,807425.3381809278,2367.781210831409,PASS
F3,unimodal,SCHO,11,1010,30,500,10,300.0,18081.972148504297,17781.972148504297,2092960.2485874256,18081.972148504297,PASS
F3,unimodal,SCHO,12,1011,30,500,10,300.0,18393.984313788973,18093.984313788973,39443400.05579976,18393.984313788973,PASS
F3,unimodal,SCHO,13,1012,30,500,10,300.0,19094.436311531616,18794.436311531616,672152.3946961783,19094.436311531616,PASS
F3,unimodal,SCHO,14,1013,30,500,10,300.0,15312.441981166588,15012.441981166588,7741206.550164137,15312.441981166588,PASS
F3,unimodal,SCHO,15,1014,30,500,10,300.0,18160.63551397586,17860.63551397586,3367447.2269293303,18160.63551397586,PASS
F3,unimodal,SCHO,16,1015,30,500,10,300.0,12978.726983761646,12678.726983761646,121354.95807942527,12978.726983761646,PASS
F3,unimodal,SCHO,17,1016,30,500,10,300.0,19888.31479039565,19588.31479039565,6158924.339071075,19888.31479039565,PASS
F3,unimodal,SCHO,18,1017,30,500,10,300.0,14111.029571614454,13811.029571614454,874430.038188272,14111.029571614454,PASS
