Variant,Function,Run,OptimizerSeed,ObjectiveSeed,Population,MaxIter,Dimension,LowerBound,UpperBound,Optimum,BestScore,Curve0,CurveLast,ElapsedSeconds,Status
SCHO,F3,23,1022,4024323,30,500,30,-100,100,0.0,0.0,163245.37719853327,0.0,2.184371800001827,PASS
SCHO,F3,25,1024,4024325,30,500,30,-100,100,0.0,0.0,79356.08665120536,0.0,2.086971100012306,PASS
SCHO,F3,27,1026,4024327,30,500,30,-100,100,0.0,0.0,183635.15749931926,0.0,2.0029778000025544,PASS
SCHO,F3,26,1025,4024326,30,500,30,-100,100,0.0,0.0,123007.79353130393,0.0,2.053848099996685,PASS
SCHO,F3,28,1027,4024328,30,500,30,-100,100,0.0,0.0,131384.1741233503,0.0,2.0931326000136323,PASS
SCHO,F4,1,1000,4024401,30,500,30,-100,100,0.0,0.0,89.41203274460929,0.0,2.0133208999905037,PASS
SCHO,F4,2,1001,4024402,30,500,30,-100,100,0.0,0.0,88.23531594133786,0.0,2.017666600004304,PASS
SCHO,F3,29,1028,4024329,30,500,30,-100,100,0.0,0.0,171958.72311027217,0.0,2.050673599995207,PASS
SCHO,F3,30,1029,4024330,30,500,30,-100,100,0.0,0.0,90997.76111955676,0.0,2.1793381000024965,PASS
SCHO,F4,5,1004,4024405,30,500,30,-100,100,0.0,0.0,83.47974018645405,0.0,2.018613699998241,PASS
SCHO,F4,3,1002,4024403,30,500,30,-100,100,0.0,0.0,90.93773968107635,0.0,2.0552715999947395,PASS
SCHO,F4,4,1003,4024404,30,500,30,-100,100,0.0,0.0,90.05593850015435,0.0,2.1440726000000723,PASS
SCHO,F4,6,1005,4024406,30,500,30,-100,100,0.0,0.0,87.42803920060479,0.0,2.0721712999948068,PASS
SCHO,F4,9,1008,4024409,30,500,30,-100,100,0.0,0.0,90.98182394999645,0.0,1.9589023000007728,PASS
SCHO,F4,7,1006,4024407,30,500,30,-100,100,0.0,0.0,89.67489840896681,0.0,2.012214300004416,PASS
SCHO,F4,8,1007,4024408,30,500,30,-100,100,0.0,0.0,88.56020743697258,0.0,2.0533709000010276,PASS
SCHO,F4,10,1009,4024410,30,500,30,-100,100,0.0,0.0,88.62436437004385,0.0,2.0695818999956828,PASS
SCHO,F4,11,1010,4024411,30,500,30,-100,100,0.0,0.0,82.14021784717164,0.0,1.9870399000064936,PASS
SCHO,F4,12,1011,4024412,30,500,30,-100,100,0.0,0.0,87.6380567694806,0.0,2.087981500008027,PASS
SCHO,F4,13,1012,4024413,30,500,30,-100,100,0.0,0.0,81.54232198828862,0.0,2.0280187999887858,PASS
SCHO,F4,14,1013,4024414,30,500,30,-100,100,0.0,0.0,77.8379255985727,0.0,2.024909400002798,PASS
