Variant,Function,Run,OptimizerSeed,ObjectiveSeed,Population,MaxIter,Dimension,BestScore,Curve0,CurveLast,ElapsedSeconds,Status
V1,F5,15,1014,4024515,30,500,30,27.83707159266255,199986599.631898,27.83707159266255,1.7955765000078827,PASS
V1,F5,16,1015,4024516,30,500,30,27.14249923293043,230963403.05164534,27.14249923293043,1.8107981000066502,PASS
V1,F5,19,1018,4024519,30,500,30,28.866596212968567,235011607.0552513,28.866596212968567,1.6955238999944413,PASS
V1,F5,17,1016,4024517,30,500,30,27.233797922112245,267563143.6435758,27.233797922112245,1.7953290000004927,PASS
V1,F5,18,1017,4024518,30,500,30,28.859025130354,261605126.34257632,28.859025130354,1.794052900004317,PASS
V1,F5,20,1019,4024520,30,500,30,28.173400549620226,318067279.8984649,28.173400549620226,1.784094799993909,PASS
V1,F5,21,1020,4024521,30,500,30,28.809137028708275,320276562.2341088,28.809137028708275,1.7716368999972474,PASS
V1,F5,23,1022,4024523,30,500,30,28.00551703205017,224106822.12627918,28.00551703205017,1.7345226000034017,PASS
V1,F5,24,1023,4024524,30,500,30,28.856542727366655,272530389.63664186,28.856542727366655,1.7830850000027567,PASS
V1,F5,22,1021,4024522,30,500,30,28.971878251216225,250438783.368967,28.971878251216225,1.8162593000015477,PASS
V1,F5,27,1026,4024527,30,500,30,28.09403720117838,289149958.1576517,28.09403720117838,1.7004498000023887,PASS
V1,F5,25,1024,4024525,30,500,30,28.16845759318202,197086662.74910796,28.16845759318202,1.7387105999951018,PASS
V1,F5,28,1027,4024528,30,500,30,28.66345701966568,306443111.17072505,28.66345701966568,1.7404824999975972,PASS
V1,F5,26,1025,4024526,30,500,30,28.87787135512256,272825950.8696747,28.87787135512256,1.7508930000039982,PASS
V1,F6,1,1000,4024601,30,500,30,0.13224493110755925,67909.83159949695,0.13224493110755925,1.6620534999965457,PASS
V1,F6,2,1001,4024602,30,500,30,0.08456744454183789,70582.57089954114,0.08456744454183789,1.6730580000003101,PASS
V1,F5,29,1028,4024529,30,500,30,27.98136697764828,254911291.89617184,27.98136697764828,1.726795900001889,PASS
V1,F5,30,1029,4024530,30,500,30,28.65815052394188,297997041.8303026,28.65815052394188,1.7024435000057565,PASS
V1,F6,6,1005,4024606,30,500,30,0.002525403987699008,68955.29999951718,0.002525403987699008,1.6927509999950416,PASS
V1,F6,4,1003,4024604,30,500,30,0.02912326303528942,71219.00386103941,0.02912326303528942,1.802378000007593,PASS
V1,F6,3,1002,4024603,30,500,30,0.08973866976771264,71353.455751133,0.08973866976771264,1.8406526000035228,PASS
V1,F6,5,1004,4024605,30,500,30,0.11767006716088171,71208.03386246378,0.11767006716088171,1.8134315000061179,PASS
V1,F6,7,1006,4024607,30,500,30,0.04406766079513431,70011.4366295226,0.04406766079513431,1.7107287000108045,PASS
V1,F6,9,1008,4024609,30,500,30,0.22809576317691474,70501.21762803209,0.22809576317691474,1.6946655999927316,PASS
V1,F6,8,1007,4024608,30,500,30,0.009095028098678124,54162.957873925516,0.009095028098678124,1.712799000000814,PASS
V1,F6,10,1009,4024610,30,500,30,0.0069268121645745815,68295.92181788973,0.0069268121645745815,1.6989690000045812,PASS
V1,F6,11,1010,4024611,30,500,30,0.006149042415475529,79935.06488261481,0.006149042415475529,1.7923910999961663,PASS
