Function,Canonical,Variant,Run,Seed,Population,MaxIter,Dimension,LowerBound,UpperBound,Optimum,BestScore,Curve0,CurveLast,ElapsedSeconds,Status
F28,CF5,source_faithful,6,1005,30,500,10,-5.0,5.0,0.0,237.19878937737798,889.9349354749176,237.19878937737798,4.993417700010468,PASS
F28,CF5,source_faithful,7,1006,30,500,10,-5.0,5.0,0.0,7.04774343795105,951.3453260618144,7.04774343795105,5.408117600003607,PASS
F28,CF5,source_faithful,8,1007,30,500,10,-5.0,5.0,0.0,102.9359394050247,1122.0758882465877,102.9359394050247,4.810032699999283,PASS
F28,CF5,source_faithful,9,1008,30,500,10,-5.0,5.0,0.0,234.61952723250022,956.2222259229433,234.61952723250022,4.995404999994207,PASS
F28,CF5,source_faithful,10,1009,30,500,10,-5.0,5.0,0.0,3.389309909611895,752.6141142561002,3.389309909611895,6.4697222000104375,PASS
F28,CF5,source_faithful,11,1010,30,500,10,-5.0,5.0,0.0,15.643708801247719,469.7267513602824,15.643708801247719,4.761148599995067,PASS
F28,CF5,source_faithful,12,1011,30,500,10,-5.0,5.0,0.0,6.827193349285119,1054.854318600925,6.827193349285119,4.703175500006182,PASS
F28,CF5,source_faithful,13,1012,30,500,10,-5.0,5.0,0.0,2.9166171278657558,614.9317224981288,2.9166171278657558,5.084348800010048,PASS
F28,CF5,source_faithful,14,1013,30,500,10,-5.0,5.0,0.0,1.6821073861644513,408.79958978188836,1.6821073861644513,4.819343600000138,PASS
F28,CF5,source_faithful,15,1014,30,500,10,-5.0,5.0,0.0,12.682097799109922,965.3245921389697,12.682097799109922,4.766216599993641,PASS
F28,CF5,source_faithful,16,1015,30,500,10,-5.0,5.0,0.0,10.540217894981406,814.7268878230599,10.540217894981406,4.845793000000413,PASS
F28,CF5,source_faithful,17,1016,30,500,10,-5.0,5.0,0.0,233.18511908462207,728.4523326171543,233.18511908462207,4.59026100000483,PASS
F28,CF5,source_faithful,18,1017,30,500,10,-5.0,5.0,0.0,511.7112224977949,836.4856539305395,511.7112224977949,4.553371500005596,PASS
F28,CF5,source_faithful,19,1018,30,500,10,-5.0,5.0,0.0,72.08235639756774,519.6707396554908,72.08235639756774,4.9057363000029,PASS
